PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
34654,Aciculoconidium aculeatum,Aciculoconidium,NRRL YB-4298, CBS 5578,NA,NA,1.157296875,0.832484974,0,1.547487315,0,0.279756424,NA,0,0,0,1.031134364,0,0.055428735,0.408497006,0,0.674923998,0
26117,Alloascoidea hylecoeti,Alloascoidea,NRRL Y-17634, CBS 355.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37918,Alloascoidea africana ,Alloascoidea,NRRL Y-6762-3, CBS 12606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37239,Allodekkera sacchari,Allodekkera,NA,CBS 14167,NA,NA,0,0,0,NA,0,0,0,NA,0,0.682410145,0.900338293,0,0,0,0,1.074295316,0
26137,Ambrosiozyma ambrosiae ,Ambrosiozyma,NRRL Y-7524, CBS 6003,NA,NA,0.393526657,0,0,0.706052397,0,0.405336722,0,0,0,0.463155787,0.78322002,0,0.290971195,0.249637064,0,0.380581646,0
26145,Ambrosiozyma vanderkliftii ,Ambrosiozyma,NRRL Y-63633, CBS 10905,NA,NA,0.262956613,0.258624295,0.180419748,0,NA,0.230473523,0.095377627,NA,0.103054688,0.199288411,1.388881564,0.151005177,0.162197774,1.266112977,0.195310833,0.642923734,0.100713572
26279,Ambrosiozyma monospora,Ambrosiozyma,NRRL Y-1484, CBS 2554,NA,NA,0.34111651,0,0,0.437097492,0,0.531908638,0.135106991,0,0,0.53671079,0.524023479,0,0.090939564,0.405796309,0,0.48594645,0.147197498
26280,Ambrosiozyma cicatricosa ,Ambrosiozyma,NRRL Y-17594, CBS 6167,NA,NA,0.522604944,0.436432441,0,1.002793956,0,0.37344222,0.365714857,0,0,0.590453979,0.678177258,0,0.445552747,0.44406615,0.2314844,0.64670876,0.275146202
34942,Ambrosiozyma angophorae ,Ambrosiozyma,NRRL Y-7118, CBS 5823,NA,NA,0.187015817,0.132979518,0.222381451,0.288670593,0,0,0.112753423,0,0,0.647279468,0.39156659,0,0.089363422,0.121490841,0,0.833274973,0
34946,Ambrosiozyma oregonensis ,Ambrosiozyma,NRRL Y-6106, CBS 5560,NA,NA,0.198944141,0.355009552,0.281671592,0.365371082,0,0.557525657,0,0,0,0.685462124,1.051903795,0,0.290560088,0.413391402,0,0.609981026,0.184123086
34947,Ambrosiozyma philentoma ,Ambrosiozyma,NRRL Y-7523, CBS 6276,NA,NA,0.536120444,0.529726582,0.426448092,0.72545774,0,0.619325583,0,0,0,0.698488964,0.796335413,0,1.609036205,0.631136874,0,0.757760456,0.29430535
34948,Ambrosiozyma platypodis ,Ambrosiozyma,NRRL Y-6732, CBS 4111,NA,NA,NA,0,0,0,0,0.613609782,0,0,NA,0,0.596383137,0,0.484781587,0.856972166,0,0.316797006,0.574192859
34949,Ambrosiozyma neoplatypodis ,Ambrosiozyma,NRRL Y-63630, CBS 10900,NA,NA,0.483349577,0.348126376,0.242128963,0.452413619,0,0.25005798,0.318471242,0,0,0.595169582,0.469157134,0,0.273974047,0.415443443,0,0.384988256,0
35038,Ambrosiozyma kashinagacola ,Ambrosiozyma,NRRL Y-63631, CBS 10903,NA,NA,0,0.496213948,0,0.869607729,0,0.381999805,0,NA,0,0,1.246097658,0,0.438028035,0.28346498,0,0.265573373,0
35039,Ambrosiozyma llanquihuensis ,Ambrosiozyma,NRRL Y-17657, CBS 8182,NA,NA,NA,0.236294127,0,1.023295263,0,0.277437883,0,NA,0,0,0.567930468,0,0,0,0,0,0.282299705
35040,Ambrosiozyma maleeae ,Ambrosiozyma,NRRL Y-63635, CBS 11900,NA,NA,0,0.146039318,0.068694228,0.260137048,0,0.127065798,0,0.074719356,0,0,0.353380444,0,0.028807335,0.114615981,0,0,0.081944286
35041,Ambrosiozyma pseudovanderkliftii ,Ambrosiozyma,NRRL Y-63632, CBS 10904,NA,NA,0.784469348,0.401855021,0,1.043418266,0,0,0,0,0,0.720640686,1.179293995,0,0.251806325,0.215860466,0,0.483018924,0
37920,Ambrosiozyma kamigamensis ,Ambrosiozyma,NRRL Y-63629, CBS 10899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38110,Ambrosiozyma wuzhishanensis,Ambrosiozyma,NA,CBS 10850, EU570110,NA,0.394929466,0,0,0.46346527,0,0.213626269,0,0,0,0.38768847,0.551546327,0,0.208797774,0.16158722,0,0.328754825,0
37921,Ascoidea asiatica ,Ascoidea,NRRL Y-17632, CBS 377.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37922,Ascoidea rubescens,Ascoidea,NRRL Y-17699A, CBS 116.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37923,Ascoidea tarda ,Ascoidea,NRRL Y-2393, CBS 12609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35043,Babjeviella inositovora,Babjeviella,NRRL Y-12698, CBS 8006,NA,NA,0.20396716,0.448581996,NA,0.771069221,0,0.950138336,0,0.416831361,0,0.894523185,0.936000351,0,0.167159231,1.083011422,0,0.808118547,0
35044,Barnettozyma californica ,Barnettozyma,NRRL Y-17395, CBS 252,NA,NA,0.333338744,0.211113899,0.255438199,0.58327263,0,0.567953955,0.165608096,0.456723102,0,0.173042057,0.976092507,0,0.081291437,0.624399533,0,0.51107928,0
35045,Barnettozyma hawaiiensis ,Barnettozyma,NRRL Y-27270, CBS 8760,NA,NA,0.604762317,0,NA,1.019297431,0,0.58108795,0,0,0,0,1.09687185,0,0.191165289,0.468311584,0,0,0
35046,Barnettozyma populi,Barnettozyma,NRRL Y-12728, CBS 8094,NA,NA,0.617481981,0,0,1.036635076,0,1.53947294,0,0,0,0,0.977005913,0,0.899746501,0.941113446,0,0,0
35047,Barnettozyma pratensis ,Barnettozyma,NRRL Y-12696, CBS 7079,NA,NA,0.089876495,0.146550138,0,0.219940311,0.258598244,0.236005419,0.125069839,NA,0,0.559347111,0.206761038,0,0.093603012,0.163506685,0,0.474398249,0
35048,Barnettozyma salicaria ,Barnettozyma,NRRL Y-6780, CBS 5456,NA,NA,0.132861941,0.977504533,0,1.830516578,0,1.117821321,0,0,0,0,0,0,1.048029733,2.036405705,0,0,0
35049,Barnettozyma wickerhamii ,Barnettozyma,NRRL Y-2435, CBS 4107,NA,NA,0.157365323,0.362191209,0,0.656472651,0,0.262578622,0.149928694,0,0,0.162751089,0.993835963,0,0.735228712,0.507417779,0,0.242235559,NA
38111,Barnettozyma sucrosica,Barnettozyma,NA,CBS 11512 , AB462329,NA,0,0,0,0.557406062,0,0.473067263,0.090165925,0.284646057,0,0,0.588870267,0.21226179,0.032189325,0.487140675,0,0.298063904,0
38112,Barnettozyma vustinii,Barnettozyma,NA,CBS 11554 ,NA,NA,0.191864956,0.200205694,0,0.644800611,0,0.514862427,0,0.207568086,0,0,1.049358408,0.239459299,0.284887365,0.548991794,0,0.148110347,0
38398,Barnettozyma siamensis,Barnettozyma,NA, CBS 13392 ,U76197,NA,0.435174547,0.390200786,0,0.856505988,0,0.635143887,0,NA,0,0,0.654324631,0,0.461319785,0.041210796,0.084822395,0.295833824,0
26239,Blastobotrys buckinghamii,Blastobotrys,NRRL Y-63727, CBS 13900,NA,NA,2.671528685,0,0,0.42203025,0.943648597,0,0,0,0,1.363903238,0.46965565,0,0,0,0,0,NA
34666,Blastobotrys terrestris,Blastobotrys,NRRL Y-17704, CBS 7376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34667,Blastobotrys serpentis,Blastobotrys,NRRL Y-48249, CBS 10541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34668,Blastobotrys robertii,Blastobotrys,NRRL Y-27775, CBS 10106,NA,NA,0.456608352,NA,0,0,1.064404741,0,0,0,0.174547948,0.822744564,0.261027119,NA,0.014209475,0.033630523,0.227440046,0.101106589,0
34669,Blastobotrys raffinofermentans,Blastobotrys,NRRL Y-27150, CBS 6800,NA,NA,0.312528617,0,0,0.680035835,0.623232515,0,0.097411318,0.128089036,0,0.858787561,0.864104943,0.49561961,0.18157199,0.552371797,0.404860319,0.911446458,0
34670,Blastobotrys proliferans,Blastobotrys,NRRL Y-17577, CBS 522.75,NA,NA,0,0,0,0,0.974924815,0,0,0,0,0.394643685,0,0,0,0.774675951,0.251213295,5.527649705,0
34671,Blastobotrys peoriensis,Blastobotrys,NRRL YB-2290, CBS 10340,NA,NA,0.452610919,0,0.875889967,0.29188582,0.506389189,0,0,0.491063478,0.35710277,0.566915907,1.108383273,0.150650673,0.006407018,0.482574131,0.244264738,0.390252764,0
34672,Blastobotrys parvus,Blastobotrys,NRRL Y-1004, CBS 6147,NA,NA,0.901683049,0,0,NA,0.611749166,1.58919824,NA,0,NA,1.440853737,0.808480401,NA,NA,NA,0,0.406492115,0
34673,Blastobotrys nivea,Blastobotrys,NRRL Y-17581, CBS 163.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34674,Blastobotrys muscicola,Blastobotrys,NRRL Y-7993, CBS 10338,NA,NA,0.32908478,0.167427086,0,0,0.468249157,0,0,NA,0.336424465,0.961763034,0.51632107,0,0.078357068,0.024188951,0.266410768,0.137065605,0
34675,Blastobotrys mokoenaii,Blastobotrys,NRRL Y-27120, CBS 8435,NA,NA,0.552809455,NA,NA,0.453745741,1.940448764,0,0.526407854,0,0,1.163466571,0,0,0.30647794,0.829422762,0,0.381120379,0
34676,Blastobotrys malaysiensis,Blastobotrys,NRRL Y-6417, CBS 10336,NA,NA,0.432172285,0,0,0,0.623883379,0.195650874,1.331027514,0.248359162,0,0.917312458,0.568052454,0.297949832,0.322326959,0.525244603,0,0.184799615,0
34677,Blastobotrys indianensis,Blastobotrys,NRRL YB-1950, CBS 9600,NA,NA,0.498161492,0.120898092,0.25346773,1.698533207,0.948415032,0.369036325,0,0.197003254,0,0.70956591,1.000115864,0,0.043061101,0.342184815,0,0,0
34680,Blastobotrys adeninivorans,Blastobotrys,NRRL Y-17692, CBS 8244,NA,NA,0.93621652,0,0,0.57794545,0.371107825,0.065195804,0.220717369,0.262164392,0,0.926468394,0.59408141,0.281579094,0.030580261,0.769422592,0.330348672,0.781983409,0
34681,Blastobotrys americana,Blastobotrys,NRRL Y-6844, CBS 10337,NA,NA,0.788864675,NA,0.196114216,NA,1.013651498,0.470134908,NA,NA,NA,0.317867972,0.718941575,0.055420026,NA,0.386324012,0.923556764,0.791880609,NA
34682,Blastobotrys arbuscula,Blastobotrys,NRRL Y-17585, CBS 227.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34683,Blastobotrys aristata,Blastobotrys,NRRL Y-17579, CBS 521.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34684,Blastobotrys attinorum,Blastobotrys,NRRL Y-27639, CBS 9734,yHAB196,NA,0.597014891,0,NA,0.667612418,0.654629922,0.235684895,NA,0,0,0.560786223,0.841234714,0,0.179746678,0.768434237,0,0,0
34686,Blastobotrys capitulata,Blastobotrys,NRRL Y-17573, CBS 287.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34687,Blastobotrys chiropterorum,Blastobotrys,NRRL Y-17071, CBS 6064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34688,Blastobotrys elegans,Blastobotrys,NRRL Y-17572, CBS 530.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34689,Blastobotrys illinoisensis,Blastobotrys,NRRL YB-1343, CBS 10339,NA,NA,0.35974345,0.238450929,2.874608103,0.496330457,NA,0,0.863124463,0,0,0,0.417364879,0.290917634,2.13777863,0.489099466,0,1.089123,0
40960,Blastobotrys sp.,Blastobotrys,NA,NA,YP228,yHDO358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26049,Botryozyma mucatilis,Botryozyma,NA, CBS 9042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34655,Botryozyma nematodophila,Botryozyma,NRRL Y-17705, CBS 7426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35710,Botryozyma americana,Botryozyma,NA, CBS 8560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35711,Botryozyma cognata,Botryozyma,NA, CBS 8753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26197,Brettanomyces custersianus,Brettanomyces,NRRL Y-6653, CBS 4805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34965,Brettanomyces naardenensis,Brettanomyces,NRRL Y-17526, CBS 6042,NA,NA,0.675829683,0,0,0.852027184,0.61829323,0,0,0,0,0,0.330296365,0,0,0.356477456,0,0,0
38399,Brettanomyces nanus,Brettanomyces,NRRL Y-17527, CBS 1945,FJ527149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26052,Candida buinensis,Candida,NRRL Y-11706,NA,NA,NA,0.787581267,0.318929377,0.135030687,0.644775073,0.614399275,0.059380137,0,NA,0,0.517084825,1.118447871,0,0.096454265,0.630405721,0,0.378818871,0
26054,Candida pseudorugosa,Candida,NA, CBS 10433 ,NA,NA,0,0,0,0.27625062,0.859396796,0,0,0,0,0,1.050409505,0,0,0.535507751,0,0,NA
26056,Candida railenensis ,Candida,NRRL Y-17762, CBS 8164 ,NA,NA,0,0,0,0.814286741,0.33678767,0.26280495,0,0.54254258,0,0.537698959,0.741201148,0,0.091644681,NA,0,0.133701305,0
26071,Candida songkhlaensis,Candida,NA,NA,NBRC 103214 ,NA,0.902842292,0.232539741,0,0.607255693,0.656873477,0.403707085,0.241872042,0.085268065,0,0.44820436,1.019088848,0,0.110611355,0.411958063,0,0.078227325,NA
26073,Candida easanensis,Candida,NA,NA,NCYC 3782,NA,0.233819449,0.258447397,0,0.392792449,0,0.346531387,0.211216435,0,0,0.256265788,0.864687751,0,0.18715862,0.24497614,0,0.221126682,0
26143,Candida methanosorbosa ,Candida,NRRL Y-17320, CBS 7029,NA,NA,0.10296973,0.263550324,0,0.251114491,0.253430259,0.218548292,0.354901526,0.14257091,0,0,1.363465582,0,0.102128763,0.165413683,0,0,0
26157,Candida sp. ,Candida,NRRL Y-7574,NA,NA,NA,0.404511082,0.199839118,0.114540283,0.489119618,0.097502425,0.404622854,0,0,0.114738062,0.379890655,0.85518163,0,0.095745045,0.270419536,0,0.352173155,0
26167,Candida pignaliae ,Candida,NRRL Y-17664, CBS 6071,NA,NA,0,0,0,0.373013639,0,0.250026587,0.178731891,0,0,0,0.263075125,0,0.137071046,0.157535067,0,0,0
26270,Candida sp. ,Candida,NRRL Y-12764, CBS 7089,NA,NA,0,0,0,0.499250553,0.310619415,0,0,0,0,0,1.068519066,0,0.154625908,0.182770474,0,0,0
26296,Candida bombi ,Candida,NRRL Y-17081, CBS 5836,NA,NA,NA,0,NA,0.229272403,NA,0.075722157,0,NA,0,0,0.293438556,0,0.024721726,NA,0.196970117,0.646863949,0
34582,Candida cellae ,Candida,NRRL Y-27860, CBS 10086,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.980306118,NA,NA,NA,0.456177142,0.951841866,0
34583,Candida etchellsii ,Candida,NRRL Y-17084, CBS 1750,NA,NA,0,0,0,0.636727602,NA,0.354565668,0,NA,0,0,0.567610377,0,0.028256087,0.048316244,0,0,0
34584,Candida floricola ,Candida,NRRL Y-17676, CBS 7289,NA,NA,0,0,0,0.318676793,0.378599856,0.436016648,0,NA,NA,0.869175254,0.364168998,0,0.006537602,NA,0,0.647697589,NA
34585,Candida floris ,Candida,NRRL Y-48255, CBS 10593,NA,NA,0,0,0,0.385658418,0.361014445,0.335862483,0,0,NA,0,0.421088105,0,0.064232428,NA,0,0,0
34590,Candida magnoliae ,Candida,NRRL Y-2024, CBS 166,NA,NA,NA,NA,NA,0.610605495,NA,0.526848484,0,0.377346682,NA,0,0.585163187,0,0.065726569,NA,0.510821944,0.670329273,0
34591,Candida stellata ,Candida,NRRL Y-1446, CBS 157,U44822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34595,Candida apis ,Candida,NRRL Y-2482, CBS 2674,NA,NA,0,NA,0,0.488338389,0.644169808,0.450880295,0,0,NA,0,0.52884564,0,0.078701038,0.019546357,0.214251446,0.676491313,0
34596,Candida sp. ,Candida,NRRL Y-17713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34597,Candida stellimalicola ,Candida,NRRL Y-17912, CBS 7853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34598,Candida dendrica ,Candida,NRRL Y-7775, CBS 6151,NA,NA,0.499283695,0.336343724,0,0.708005212,0,0.357329302,NA,NA,0,0,1.105851656,0,0.223954173,0.022897648,0,0,0
34599,Candida berthetii ,Candida,NRRL Y-17644, CBS 5452,NA,NA,0.322373323,0.240630121,0,0.753565786,0,0.990178356,0,0,0,0,0.894958144,0,0.017147442,0.009771231,0,0.302178176,0
34618,Candida rugopelliculosa ,Candida,NRRL Y-17079, CBS 6377,NA,NA,0,0,0.149740076,0.472663474,0,0,0,0,0,0,0.835780331,0,0.030962966,0.06878994,0,0.046249375,0.608376229
34619,Candida ethanolica ,Candida,NRRL Y-12615, CBS 8041,NA,NA,0,0,0,0.322370548,0,0.23591926,0,0,0,0,0.379247352,0,0.183807654,0,0,0,0.141021075
34632,Candida athensensis ,Candida,NRRL Y-27644, CBS 9840,NA,NA,0.996035599,0,0,1.149631033,1.027474543,0.439971727,NA,0,0,0.763184494,1.043465698,0,0.073894445,NA,0,0.467641274,0
34633,Candida smithsonii ,Candida,NRRL Y-27642, CBS 9839,NA,NA,0,0.230706023,0.111890079,0.450177361,0.8072894,0.35131066,0,0,0,0.689590993,0.606791494,0,0.03931577,0.377742915,0,0.39317267,NA
34642,Candida zeylanoides ,Candida,NRRL Y-1774, CBS 619,NA,NA,NA,0.314844686,0,0.962327578,0,0.650013412,0,0,0,0,1.939412635,0,0.135983864,NA,0,0,0
34643,Candida schatavii ,Candida,NRRL Y-17078, CBS 6452,NA,NA,0,0,0.212086911,0,0.081021063,0,0,0,0,0,0,0,0.09010589,0.454100982,0,0,0
34644,Candida quercitrusa ,Candida,NRRL Y-5392, CBS 4412,NA,NA,0,NA,0.152441198,NA,0.325256836,0.160569597,0,0.212818663,NA,0.541923263,0.503040402,0,0.01808111,0.032810015,0,0.457237153,0
34645,Candida boleticola ,Candida,NRRL Y-17080, CBS 6420,NA,NA,0,0,0,0,0,0.16160061,0,NA,0,0,0,NA,0,0,0,0,NA
34647,Candida savonica,Candida,NRRL Y-17077, CBS 6563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34648,Candida restingae,Candida,NRRL Y-27358, CBS 8493,NA,NA,0.195402629,0.358117234,0.064301085,0.897613112,0.542291039,0.44063771,0,0.250635421,0,0.597823914,0.940264587,0,0.008654158,0.3018965,0.99398445,0.585190323,0
34649,Candida plutei,Candida,NRRL Y-27715, CBS 9885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34650,Candida mesenterica,Candida,NRRL Y-1494, CBS 602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34651,Candida leandrae,Candida,NRRL Y-27757,NA,NA,NA,0,0.143361081,0,0,0.187974267,0,0,0.205896295,0,0.172594228,1.01775792,0,0,0.073566096,0.552787964,0.979780799,0
34652,Candida derodonti,Candida,NRRL Y-27711, CBS 9882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34656,Candida glaebosa,Candida,NRRL Y-6949, CBS 5691,NA,NA,0,0.632627281,0,0.937956877,1.283607971,0.606967671,0,0,0,1.663629978,1.000693896,0,0.243094156,0.725835039,0.368599879,0.270673106,NA
34657,Candida pseudoglaebosa,Candida,NRRL Y-17911, CBS 6715,NA,NA,1.345837109,0.299827229,0.38588233,1.661634085,1.577500444,0.652640841,0,0.285800933,0.557127475,0.932113698,1.593367858,0,0.058394188,2.728686726,0.724508911,0.4804165,0.654579748
34718,Candida uthaithanina,Candida,NA, CBS 10932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34719,Candida pseudohumilis,Candida,NA, CBS 11404,NA,NA,0,NA,0,0.386297409,0.411028642,0,0,0,NA,0,1.117906634,0,0.006803205,0.005740764,0.722923403,1.335116271,0
34720,Candida nivariensis,Candida,NRRL Y-48269 , CBS 9983,NA,NA,0,0,0,0.552170312,0,0,0,0,NA,0,1.671124122,0,0.004324,0.008170467,0,0,0
34721,Candida milleri,Candida,NRRL Y-7245 , CBS 6897,NA,NA,0,0,0,0.373596315,0.832837653,0,NA,0,0,0,0.34614292,0,0.029356888,0.142967432,0.591685687,1.178389287,0
34722,Candida kungkrabaensis,Candida,NA, CBS 10927,NA,NA,0,NA,0,0.276575179,NA,NA,NA,0,0,0,0.269686921,0,0.018119191,0.001499593,0,0,0
34723,Candida glabrata,Candida,NRRL Y-65 , CBS 138,NA,NA,0,0,0,0,0,0,0,NA,0,0,0.251368636,0,0.126824117,0.315739737,0,0,0
34724,Candida castellii,Candida,NRRL Y-17070 , CBS 4332,NA,NA,0,NA,0,19.750562,0,6.779832649,0,0,0,0,0,0,NA,0,0,0,0
34725,Candida bracarensis,Candida,NRRL Y-48270 , CBS 10154,NA,NA,0,NA,0,0.234835368,NA,0,0,0,0,0,0.327197464,0,0.205529184,0.005819618,0,0,0
34870,Candida suzukii ,Candida,NRRL Y-27593, CBS 9253,NA,NA,0,0,0.407995828,0.662502782,0.610535939,0.45104698,0.417570625,0,0,0,0.585826141,0,0.347881984,0.369182191,0,0,0
34906,Candida succiphila ,Candida,NRRL Y-11998, CBS 8003,NA,NA,0,0,0,0,0.97778288,0.302216927,0.556757358,0.255990666,0,0,0,0,0,0.393804233,0,0,0
34907,Candida sp. ,Candida,NRRL Y-679,NA,NA,NA,0.62645452,0,0,0.640560735,0,0,0,0,0,0,0.475047317,0,0.100478551,0.261254105,0,0,0
34908,Candida sp. ,Candida,NRRL YB-2442,NA,NA,NA,0.359824846,0,0,0,0,0.881070389,0,0,0,0,0.653404005,NA,0.504101042,0.345423194,0,0,0
34909,Candida sp. ,Candida,NRRL Y-27170, CBS 8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34910,Candida sp. ,Candida,NRRL YB-1238,NA,NA,NA,0,0.135292005,0,0.3437492,0.691404345,0.523238372,0.410911696,0,0,0,0.624293388,0,0.248259683,0.589149948,0,0,0
34912,Candida sonorensis ,Candida,NRRL Y-7800, CBS 6792,NA,NA,0.357897118,0,NA,0.397080792,0,0,0.14044429,NA,0,0.045975737,0.146075899,0,0.021615288,0.204274333,0,0,0
34913,Candida pini ,Candida,NRRL Y-2023, CBS 970,NA,NA,0,0.747332674,NA,0.846000051,0,0,0,0,0,0,0.950377827,0,0.163216134,0.574253552,0,0,0
34915,Candida piceae ,Candida,NRRL YB-2107, CBS 8701,NA,NA,0.32076433,0,0,0.599065649,0,0.1964316,0.167612812,0,0,0,1.045990738,0,0.061415757,0.22060932,0,0,0
34916,Candida nitratophila ,Candida,NRRL YB-3654, CBS 2027,NA,NA,0,0,NA,0.353003351,0.572413606,0.452193115,0.329172948,0,0,0,0.706413479,0,0.312878457,0.531971853,0,0,0
34917,Candida nemodendra ,Candida,NRRL Y-7779, CBS 6280,NA,NA,0,0,0,0.390509623,0.522161077,0.5587055,0.361585837,0,0,0,0.318749782,0,0.168237449,0.450040788,0,0,0
34925,Candida arabinofermentans ,Candida,NRRL YB-2248, CBS 8468,NA,NA,0.464770094,0,NA,0.410305941,0,0.357206333,0.403306317,0,0,0,0.548146037,0,0.09277784,0.240637935,0,0.120249114,0
34926,Candida boidinii ,Candida,NRRL Y-2332, CBS 2428,NA,NA,0,0,0,0.53137536,0,0.296137675,0,0.288231036,0,0,0.626599998,0,0.023724442,0.507395716,0,0.154206117,0.259052675
34927,Candida maris ,Candida,NRRL Y-6696, CBS 5151,NA,NA,0,0,NA,0.91593877,NA,0,0,0,NA,0,0.735983848,NA,0,0,0,0,0
34929,Candida nanaspora ,Candida,NRRL Y-17679, CBS 7200,NA,NA,0,0.153218429,NA,0.340934931,0.495026289,0.418297676,0.433820639,0,0,0,0.272859922,0,0.353222045,0.547966043,0,0,0
34954,Candida norvegica ,Candida,NRRL Y-17660, CBS 4239,NA,NA,0.276704806,0.191863843,0,0.302305252,0,0.246612807,0,0,0,0,0.368033507,0,0,0.073924087,0,0,0
34967,Candida freyschussii ,Candida,NRRL Y-7957A, CBS 2161,NA,NA,0.307759932,0.154339874,NA,0.325488583,0,0.209318006,0,0,0,0.257644306,0.17644285,0,0.163413489,0.153996345,0,0.220557762,0
34968,Candida maritima,Candida,NRRL Y-17775, CBS 5107,NA,NA,0.443828402,0.329880432,0,0.504664119,0,0.42383129,0.227677876,0,0,0.32971424,0.634098983,0,0.267112337,0.287318944,0.230126602,0.318994487,0.184695347
34969,Candida sp. ,Candida,NRRL Y-27103, CBS 6259,NA,NA,0,0.14636392,NA,0.305683211,0,0.680820704,0,0,0,0,0.598708657,0,0.032375566,0.314441263,0,0.231797787,0
34970,Candida sp.,Candida,NRRL YB-4088,NA,NA,NA,0,0,0,0.770635737,0,0.979335317,0,0,0,0.729413623,0.898360164,0,0.273558804,0.197678481,0,0.491052921,0
34971,Candida sp. ,Candida,NRRL Y-7615,NA,NA,NA,0.189138542,0.147986648,0,0.45707945,0,0.747564253,0,0,0,0.804948999,0.323168841,0,0.158562934,0.271002194,0,0.576857164,0.051457149
34982,Candida ubatubensis,Candida,NRRL Y-27812, CBS 10003,NA,NA,0.532737679,0.171507705,NA,0.862754617,0.210592134,0.142455836,0,0.291816767,0,0.700805543,0.669075158,0,0.021024559,0.393555252,0,0.585410301,0
34983,Candida tsuchiyae,Candida,NRRL Y-17840, CBS 7195,NA,NA,0,0.137721261,0.086699682,0.687979751,0,0.259218622,0,0.327590499,0,0.407175563,0.543251602,0,0.092156892,0.009094169,0.088653123,0.754973021,0
34984,Candida sharkiensis,Candida,NRRL Y-48380, CBS 11368,NA,NA,0.40275661,0.148166248,0.100698953,0,0.601434902,0.490384197,0.090712931,3.913157793,0.191140773,0.426692149,1.010087805,0.177833698,0.201619897,0.289234226,0.688904993,1.165306423,0
